Signal Legend:

Key        Signal Name

0        = ad_in
1        = dac_out_data
2        = fsk_dm:u_fsk_dm|mix
3        = fsk_dm:u_fsk_dm|fir2_mix

Data Table:

Signals-> 0    1     2    3   

sample

-128      1842 16338 -145 -46 
-127      1842 16338 -145 -46 
-126      1842 16338 -145 -46 
-125      1345 16338 -145 -46 
-124      1345 16338 78   -46 
-123      1345 16338 78   -46 
-122      1345 16338 78   -46 
-121      1266 16338 78   -46 
-120      1266 16338 135  -46 
-119      1266 16338 135  -46 
-118      1266 16338 135  -46 
-117      1653 16338 135  -46 
-116      1653 16338 -78  -46 
-115      1653 16338 -87  -46 
-114      1653 16338 -87  -46 
-113      2276 16338 -87  -46 
-112      2276 16338 -277 -46 
-111      2276 16338 -140 -46 
-110      2276 16338 -140 -46 
-109      2772 16338 -140 -46 
-108      2772 16338 -156 -46 
-107      2772 16338 89   -46 
-106      2772 16338 89   -46 
-105      2854 16338 88   -46 
-104      2854 16338 46   -46 
-103      2854 16338 148  -46 
-102      2854 16338 148  -46 
-101      2469 16338 -73  -46 
-100      2469 16338 -73  -46 
-99       2469 16338 -82  -46 
-98       2469 16338 -82  -46 
-97       1842 16338 -277 -46 
-96       1842 16338 -145 -46 
-95       1842 16338 -145 -46 
-94       1842 16338 -145 -46 
-93       1343 16338 -145 -46 
-92       1343 16338 78   -46 
-91       1343 16338 78   -46 
-90       1343 16338 78   -46 
-89       1266 16338 78   -46 
-88       1266 16338 135  -46 
-87       1266 16338 135  -46 
-86       1266 16338 135  -46 
-85       1650 16338 135  -46 
-84       1650 16338 -79  -46 
-83       1650 16338 -88  -46 
-82       1650 16338 -88  -46 
-81       2275 16338 -88  -46 
-80       2275 16338 -277 -46 
-79       2275 16338 -141 -46 
-78       2275 16338 -141 -46 
-77       2774 16338 -141 -46 
-76       2774 16338 -157 -46 
-75       2774 16338 89   -46 
-74       2774 16338 89   -46 
-73       2853 16338 88   -46 
-72       2853 16338 46   -46 
-71       2853 16338 149  -46 
-70       2853 16338 149  -46 
-69       2468 16338 -74  -46 
-68       2468 16338 -74  -46 
-67       2468 16338 -81  -46 
-66       2468 16338 -81  -46 
-65       1844 16338 -278 -46 
-64       1844 16338 -145 -46 
-63       1844 16338 -145 -46 
-62       1844 16338 -145 -46 
-61       1346 16338 -145 -46 
-60       1346 16338 77   -46 
-59       1346 16338 77   -46 
-58       1346 16338 77   -46 
-57       1266 16338 77   -46 
-56       1266 16338 136  -46 
-55       1266 16338 136  -46 
-54       1266 16338 136  -46 
-53       1651 16338 136  -47 
-52       1651 16337 -78  -47 
-51       1651 16337 -87  -47 
-50       1651 16337 -87  -47 
-49       2276 16337 -87  -47 
-48       2276 16337 -278 -47 
-47       2276 16337 -141 -47 
-46       2276 16337 -141 -47 
-45       2773 16337 -141 -47 
-44       2773 16337 -157 -47 
-43       2773 16337 89   -47 
-42       2773 16337 89   -47 
-41       2852 16337 88   -47 
-40       2852 16337 46   -47 
-39       2852 16337 148  -47 
-38       2852 16337 148  -47 
-37       2469 16337 -73  -47 
-36       2469 16337 -73  -47 
-35       2469 16337 -81  -47 
-34       2469 16337 -81  -47 
-33       1844 16337 -276 -47 
-32       1844 16337 -145 -47 
-31       1844 16337 -145 -47 
-30       1844 16337 -145 -47 
-29       1343 16337 -145 -47 
-28       1343 16337 77   -47 
-27       1343 16337 77   -47 
-26       1343 16337 77   -47 
-25       1267 16337 77   -47 
-24       1267 16337 136  -47 
-23       1267 16337 136  -47 
-22       1267 16337 136  -47 
-21       1654 16337 136  -47 
-20       1654 16337 -79  -47 
-19       1654 16337 -87  -47 
-18       1654 16337 -87  -47 
-17       2277 16337 -87  -47 
-16       2277 16337 -277 -47 
-15       2277 16337 -140 -47 
-14       2277 16337 -140 -47 
-13       2773 16337 -140 -47 
-12       2773 16337 -155 -47 
-11       2773 16337 89   -47 
-10       2773 16337 89   -47 
-9        2853 16337 89   -47 
-8        2853 16337 47   -47 
-7        2853 16337 149  -47 
-6        2853 16337 149  -47 
-5        2468 16337 -73  -47 
-4        2468 16337 -73  -47 
-3        2468 16337 -81  -47 
-2        2468 16337 -81  -47 
-1        1843 16337 -278 -47 
0         1843 16337 -145 -47 
1         1843 16337 -145 -47 
2         1843 16337 -145 -47 
3         1344 16337 -145 -47 
4         1344 16337 78   -47 
5         1344 16337 78   -47 
6         1344 16337 78   -47 
7         1266 16337 78   -47 
8         1266 16337 135  -47 
9         1266 16337 135  -47 
10        1266 16337 135  -47 
11        1653 16337 135  -47 
12        1653 16337 -79  -47 
13        1653 16337 -88  -47 
14        1653 16337 -88  -47 
15        2276 16337 -88  -47 
16        2276 16337 -277 -47 
17        2276 16337 -140 -47 
18        2276 16337 -140 -47 
19        2773 16337 -140 -47 
20        2773 16337 -156 -47 
21        2773 16337 89   -47 
22        2773 16337 89   -47 
23        2852 16337 88   -47 
24        2852 16337 46   -47 
25        2852 16337 148  -47 
26        2852 16337 148  -47 
27        2468 16337 -73  -47 
28        2468 16337 -73  -47 
29        2468 16337 -81  -47 
30        2468 16337 -81  -47 
31        1843 16337 -277 -47 
32        1843 16337 -145 -47 
33        1843 16337 -145 -47 
34        1843 16337 -145 -47 
35        1344 16337 -145 -47 
36        1344 16337 78   -47 
37        1344 16337 78   -47 
38        1344 16337 78   -47 
39        1265 16337 78   -47 
40        1265 16337 135  -47 
41        1265 16337 135  -47 
42        1265 16337 135  -47 
43        1651 16337 135  -47 
44        1651 16337 -79  -47 
45        1651 16337 -88  -47 
46        1651 16337 -88  -47 
47        2276 16337 -88  -47 
48        2276 16337 -278 -47 
49        2276 16337 -141 -47 
50        2276 16337 -141 -47 
51        2774 16337 -141 -47 
52        2774 16337 -156 -47 
53        2774 16337 89   -47 
54        2774 16337 89   -47 
55        2852 16337 88   -47 
56        2852 16337 46   -47 
57        2852 16337 148  -47 
58        2852 16337 148  -47 
59        2469 16337 -73  -47 
60        2469 16337 -73  -47 
61        2469 16337 -81  -47 
62        2469 16337 -81  -47 
63        1844 16337 -277 -47 
64        1844 16337 -145 -47 
65        1844 16337 -145 -47 
66        1844 16337 -145 -47 
67        1345 16337 -145 -47 
68        1345 16337 77   -47 
69        1345 16337 77   -47 
70        1345 16337 77   -46 
71        1267 16338 77   -46 
72        1267 16338 136  -46 
73        1267 16338 136  -46 
74        1267 16338 136  -46 
75        1650 16338 136  -46 
76        1650 16338 -79  -46 
77        1650 16338 -87  -46 
78        1650 16338 -87  -46 
79        1701 16338 -87  -46 
80        1701 16338 -277 -46 
81        1701 16338 -142 -46 
82        1701 16338 -142 -46 
83        1712 16338 -142 -46 
84        1712 16338 -157 -46 
85        1712 16338 -137 -46 
86        1712 16338 -137 -46 
87        1725 16338 -142 -46 
88        1725 16338 -72  -46 
89        1725 16338 -70  -46 
90        1725 16338 -70  -46 
91        1738 16338 33   -46 
92        1738 16338 33   -46 
93        1738 16338 32   -46 
94        1738 16338 32   -46 
95        1748 16338 110  -46 
96        1748 16338 106  -46 
97        1748 16338 106  -46 
98        1748 16338 106  -46 
99        1762 16338 106  -46 
100       1762 16338 114  -46 
101       1762 16338 114  -46 
102       1762 16338 114  -46 
103       1772 16338 114  -46 
104       1772 16338 55   -46 
105       1772 16338 55   -46 
106       1772 16338 55   -46 
107       1785 16338 55   -46 
108       1785 16338 48   -46 
109       1785 16338 46   -46 
110       1785 16338 46   -46 
111       1797 16338 46   -46 
112       1797 16338 45   -46 
113       1797 16338 43   -46 
114       1797 16338 43   -46 
115       1811 16338 43   -46 
116       1811 16338 41   -46 
117       1811 16338 39   -46 
118       1811 16338 39   -46 
119       1822 16338 39   -46 
120       1822 16338 37   -46 
121       1822 16338 35   -47 
122       1822 16337 35   -47 
123       1834 16337 34   -47 
124       1834 16337 34   -47 
125       1834 16337 33   -47 
126       1834 16337 33   -47 
127       1844 16337 31   -47 
128       1844 16337 29   -47 
129       1844 16337 29   -47 
130       1844 16337 29   -47 
131       1860 16337 29   -47 
132       1860 16337 27   -47 
133       1860 16337 27   -47 
134       1860 16337 27   -47 
135       1872 16337 27   -47 
136       1872 16337 24   -47 
137       1872 16337 24   -47 
138       1872 16337 24   -47 
139       1884 16337 24   -47 
140       1884 16337 23   -47 
141       1884 16337 21   -47 
142       1884 16337 21   -47 
143       1897 16337 21   -47 
144       1897 16337 20   -47 
145       1897 16337 18   -47 
146       1897 16337 18   -47 
147       1910 16337 18   -47 
148       1910 16337 18   -47 
149       1910 16337 16   -47 
150       1910 16337 16   -47 
151       1923 16337 17   -47 
152       1923 16337 15   -47 
153       1923 16337 14   -47 
154       1923 16337 14   -47 
155       1937 16337 13   -47 
156       1937 16337 13   -47 
157       1937 16337 12   -47 
158       1937 16337 12   -47 
159       1948 16337 11   -47 
160       1948 16337 10   -47 
161       1948 16337 10   -47 
162       1948 16337 10   -47 
163       1962 16337 10   -47 
164       1962 16337 8    -47 
165       1962 16337 8    -47 
166       1962 16337 8    -47 
167       1975 16337 8    -47 
168       1975 16337 6    -47 
169       1975 16337 6    -47 
170       1975 16337 6    -47 
171       1989 16337 6    -47 
172       1989 16337 6    -47 
173       1989 16337 5    -47 
174       1989 16337 5    -47 
175       2001 16337 5    -47 
176       2001 16337 4    -47 
177       2001 16337 3    -47 
178       2001 16337 3    -47 
179       2014 16337 3    -47 
180       2014 16337 3    -47 
181       2014 16337 2    -47 
182       2014 16337 2    -47 
183       2027 16337 2    -47 
184       2027 16337 2    -47 
185       2027 16337 1    -47 
